lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
5123400;5;0.02;-1072.4
5125148;101;0.79;-114.1
5126048;20;0.2;-827.8
5126545;100;0.74;-128.8
5127621;75;0.6;-409.7
5128788;85;0.78;-221
5129108;20;0.24;-361.6
5131060;48;0.43;-670.2
5132899;72;0.7;-313.7
5137524;20;0.21;-663.6
5138814;102;0.74;-220.7
5140895;152;0.84;-68.1
5143171;90;0.7;-203.3
5143974;117;0.72;-941.5
5144362;111;0.79;-243.2
5145157;23;0.25;-518.8
5146527;44;0.53;-390.7
5147740;27;0.19;-558.9
5149477;74;0.63;-365.5
5149663;89;0.69;-325.7
5151632;22;0.18;-953.1
5153346;100;0.77;-269.4
5160495;65;0.6;-337.8
5163711;154;0.79;-139.7
5165989;48;0.43;-529.3
5166349;22;0.24;10.6
5166849;87;0.68;-287.6
5167721;115;0.8;-301.1
5170338;114;0.81;61.8
5170739;30;0.25;-999
5173037;160;0.84;62.2
5178676;24;0.28;-407
5180243;24;0.27;-509
5185710;42;0.63;-572.1
5189359;50;0.51;-515.4
5192901;160;0.83;-62.5
5196389;126;0.81;-109.4
5196919;114;0.73;-216.2
5197507;78;0.62;-380.2
5199385;37;0.35;-542.9
5200159;87;0.74;-245.1
5206400;6;0.04;-1016
5209388;19;0.28;-590.9
5210045;117;0.77;-320
5211335;10;0.12;-599.7
5216633;116;0.76;-182.8
5217726;108;0.8;-136.5
5218842;102;0.75;-195.7
5222492;    ;0.21;-721.3
5223217;27;0.28;-977.6
5224640;26;0.3;-593
5226981;68;0.69;-292.7
5227521;17;0.13;-14
5228317;160;0.82;-54.2
5228645;277;0.87;-164.2
5229832;60;0.54;-420.4
5231305;124;0.76;11.8
5232845;9;0.1;-18.9
5234397;346;0.87;13.2
5237662;27;0.34;-603
5241814;5;0.07;-128.7
5243951;80;0.7;-238.2
5245237;60;0.55;-411.3
5248511;59;0.66;-328.8
5250567;30;0.31;-611.1
5251670;62;0.66;-349.2
5252108;104;0.75;-251.3
5254924;75;0.64;-350.1
5256418;92;0.72;-623.5
5259119;20;0.21;-1158.6
5264346;19;0.2;-458.8
5264771;121;0.76;-145.5
5265330;47;0.42;-744.8
5268736;25;0.26;-497.7
5274631;103;0.74;-205.5
